hs4,label,hs2
9505,Christmas festivity articles,95
9506,Skis,95
9507,Fishing rods,95
9508,Travelling circuses and travelling menageries,95
9602,"Vegetable, mineral carving material and articles of these materials, moulded or carved articles of wax, stearin, natural gums, resins or modelling pastes, worked unhardened gelatin (not heading no. 3503)",96
9603,Brooms and brushes,96
9606,"Press-fasteners, snap-fasteners, press-studs and parts therefor",96
9607,Slide fasteners,96
9608,Pens,96
9609,Pencils and crayons,96
9612,Ribbons,96
9613,Lighters,96
9615,"Combs, hair slides and the like",96
9616,"Scent sprays and similar toilet sprays, and mounts and heads therefor",96
9617,"Vacuum flasks and other vacuum vessels, complete with cases",96
9619,"Sanitary towels (pads) and tampons, napkins (diapers), napkin liners and similar articles, of any material",96
9701,"Paintings, drawings and pastels",97
9703,Sculptures and statuary,97
9705,Collections and collectors' pieces,97
9706,Antiques,97
